xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,subType,scoreDiff,shotPct,clutchFlag
227,131,26,1,1,Jump Shot,-11.0,0.389,0
1,92,9,0,1,Turnaround Jump Shot,-12.0,0.526,0
0,0,0,0,1,Tip Layup Shot,-9.0,0.609,0
-130,283,31,0,1,Pullup Jump shot,-9.0,0.418,0
28,26,4,1,1,Layup Shot,9.0,0.445,0
-4,6,1,1,1,Running Dunk Shot,-6.0,0.459,0
5,25,3,0,1,Driving Reverse Layup Shot,5.0,0.433,1
116,245,27,0,1,Jump Shot,-3.0,0.387,1
-15,143,14,1,1,Turnaround Jump Shot,2.0,0.467,1
-32,274,28,1,1,Step Back Jump shot,1.0,0.352,1
-123,224,26,0,1,Pullup Jump shot,-3.0,0.387,1
-230,5,0,0,1,Jump Shot,0.0,0.351,1
229,104,25,1,1,Step Back Jump shot,0.0,0.387,1
-112,262,28,0,1,Pullup Jump shot,0.0,0.352,1
235,30,24,0,1,Jump Shot,-3.0,0.363,1
-5,277,28,0,1,Pullup Jump shot,3.0,0.352,1
0,0,0,0,1,Tip Layup Shot,-3.0,0.642,1
38,247,25,0,1,Jump Shot,3.0,0.396,1
-176,191,26,1,1,Jump Shot,3.0,0.389,1
-92,269,28,0,1,Pullup Jump shot,-3.0,0.363,1
96,75,12,0,1,Driving Floating Jump Shot,1.0,0.52,1
7,-13,1,1,1,Driving Reverse Layup Shot,0.0,0.465,1
-77,256,27,0,1,Jump Shot,0.0,0.352,1
-9,120,12,0,1,Fadeaway Jump Shot,2.0,0.459,1
-227,-2,0,0,1,Jump Shot,1.0,0.351,1
-28,20,3,1,1,Driving Layup Shot,0.0,0.445,1
49,93,11,1,1,Fadeaway Jump Shot,0.0,0.526,1
132,241,27,0,1,Step Back Jump shot,-2.0,0.352,1
-16,251,25,1,1,Jump Shot,0.0,0.396,1
-98,242,26,0,1,Jump Shot,0.0,0.316,1
36,153,16,0,1,Pullup Jump shot,0.0,0.526,0
119,232,26,1,1,Jump Shot,0.0,0.314,0
-164,215,27,0,1,Running Jump Shot,0.0,0.319,0
-12,267,27,0,1,Jump Shot,-3.0,0.387,0
108,101,15,1,1,Pullup Jump shot,-3.0,0.444,0
-7,17,2,1,1,Layup Shot,3.0,0.469,0
-13,52,5,1,1,Driving Floating Jump Shot,-5.0,0.444,0
-17,14,2,1,1,Driving Layup Shot,3.0,0.469,0
5,142,14,1,1,Pullup Jump shot,-5.0,0.444,0
70,108,13,1,1,Pullup Jump shot,3.0,0.526,0
-8,297,30,1,1,Jump Shot,-5.0,0.314,0
-60,56,8,1,1,Turnaround Hook Shot,3.0,0.526,0
-192,200,28,0,1,Jump Shot,-6.0,0.216,0
-5,255,26,0,1,Jump Shot,4.0,0.393,0
4,46,5,1,1,Driving Floating Jump Shot,-4.0,0.444,0
228,-25,0,1,1,Jump Shot,-6.0,0.351,0
9,264,26,0,1,Jump Shot,-7.0,0.325,0
-4,16,2,1,1,Hook Bank Shot,4.0,0.473,0
100,249,27,1,1,Jump Shot,2.0,0.314,0
