gameId,actionNumber,teamId,personId,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,location,actionType,subType,shotValue,actionId,scoreDiff,clutchFlag
0022400592,498,1610612759,1641705,V. Wembanyama,59,244,25,1,1,100,83,v,Made Shot,Jump Shot,3,365,-17.0,0
0022400633,497,1610612754,1630169,T. Haliburton,-131,243,28,1,1,80,90,v,Made Shot,Pullup Jump shot,3,365,0.0,0
0022400693,505,1610612748,1631107,N. Jović,12,10,2,0,1,0,0,v,Missed Shot,Running Layup Shot,2,365,0.0,0
0022400734,517,1610612766,1630163,L. Ball,-153,233,28,0,1,0,0,h,Missed Shot,Step Back Jump shot,3,365,11.0,0
0022400743,492,1610612753,1641783,T. da Silva,-162,190,25,0,1,0,0,h,Missed Shot,Jump Shot,3,365,0.0,0
0022400769,506,1610612759,1642264,S. Castle,-75,57,9,1,1,93,83,v,Made Shot,Driving Floating Jump Shot,2,365,0.0,0
0022400844,498,1610612759,1629640,K. Johnson,28,47,5,1,1,99,73,v,Made Shot,Driving Floating Jump Shot,2,365,0.0,0
0022400937,522,1610612742,1630556,K. Edwards,-233,25,0,0,1,0,0,v,Missed Shot,Jump Shot,3,365,0.0,0
0022400951,511,1610612742,203957,D. Exum,-232,73,24,1,1,106,95,v,Made Shot,Jump Shot,3,365,-12.0,0
0022400973,536,1610612740,203468,C. McCollum,-131,29,13,1,1,95,89,v,Made Shot,Driving Floating Bank Jump Shot,2,365,-5.0,0
0022401046,505,1610612765,1627736,M. Beasley,-45,78,9,1,1,95,76,h,Made Shot,Driving Floating Jump Shot,2,365,19.0,0
0022401059,500,1610612759,1629640,K. Johnson,7,1,1,0,1,0,0,v,Missed Shot,Driving Floating Bank Jump Shot,2,365,0.0,0
0022401110,483,1610612743,201566,R. Westbrook,232,71,24,1,1,82,86,h,Made Shot,Jump Shot,3,365,0.0,0
0022401139,499,1610612759,1631103,M. Branham,20,8,2,0,1,0,0,v,Missed Shot,Driving Layup Shot,2,365,-6.0,0
0022401155,497,1610612759,1629640,K. Johnson,-18,6,2,1,1,96,87,v,Made Shot,Driving Layup Shot,2,365,-9.0,0
0022401182,494,1610612759,1630572,S. Mamukelashvili,28,14,3,1,1,99,80,v,Made Shot,Running Layup Shot,2,365,0.0,0
0022401197,505,1610612759,1642264,S. Castle,23,37,4,0,1,0,0,h,Missed Shot,Running Layup Shot,2,365,0.0,0
0022400025,514,1610612759,1631103,M. Branham,172,182,25,1,1,96,77,h,Made Shot,Jump Shot,3,371,0.0,0
0022400038,520,1610612759,1641705,V. Wembanyama,13,59,6,1,1,93,96,v,Made Shot,Driving Finger Roll Layup Shot,2,371,0.0,0
